time,open,high,low,close,vol,%,id,timestamp
0.251,0.27,0.251,0.265,4935.49,0.3,75,2010-12-27 00:00:00,
0.264,0.28057762,0.26143992,0.28057762,15438.708,5.88,76,2010-12-28 00:00:00,
0.271,0.301,0.271,0.29974323,18609.144,6.83,77,2010-12-29 00:00:00,
0.29100000000000004,0.3,0.29100000000000004,0.3,2539.873,0.09,78,2010-12-30 00:00:00,
0.3,0.3,0.292,0.3,1453.719,0.0,79,2010-12-31 00:00:00,
0.292,0.3,0.292,0.3,2821.243,0.0,80,2011-01-01 00:00:00,
0.29459,0.29996999999999996,0.29322306,0.29996999999999996,5352.108,-0.01,81,2011-01-02 00:00:00,
0.29,0.2999,0.29,0.295,1425.19,-1.66,82,2011-01-03 00:00:00,
0.29601,0.29895,0.29004,0.29895,1879.003,1.34,83,2011-01-04 00:00:00,
0.29004,0.29896093,0.29004,0.29895138,357.157,0.0,84,2011-01-05 00:00:00,
0.29899051,0.29899869,0.29,0.298,3456.489,-0.32,85,2011-01-06 00:00:00,
0.29782,0.32095669,0.29782,0.32,42601.117999999995,7.38,86,2011-01-07 00:00:00,
0.30902381,0.3229,0.30902381,0.3229,1629.4379999999999,0.91,87,2011-01-08 00:00:00,
0.32291,0.32299999999999995,0.32291,0.32299999999999995,1691.366,0.03,88,2011-01-09 00:00:00,
0.32297607,0.32899999999999996,0.31750675,0.32659,10355.828000000001,1.11,89,2011-01-10 00:00:00,
0.32659,0.32659,0.31761,0.32659,4857.8,0.0,90,2011-01-11 00:00:00,
0.3265,0.3557,0.31799453,0.3188,31359.765,-2.39,91,2011-01-12 00:00:00,
0.31802803,0.405,0.3176,0.3176,20118.897,-0.38,92,2011-01-13 00:00:00,
0.3176,0.40689693,0.3176,0.4,27130.957000000002,25.94,93,2011-01-14 00:00:00,
0.4,0.4,0.385,0.38603004,1515.661,-3.49,94,2011-01-15 00:00:00,
0.39980177,0.4,0.38605036,0.38679,2778.71,0.2,95,2011-01-16 00:00:00,
0.38679,0.38679,0.31547273,0.3495,18241.146,-9.64,96,2011-01-17 00:00:00,
0.3495,0.3495,0.31005026,0.31299,15671.508,-10.45,97,2011-01-18 00:00:00,
0.31299,0.31299,0.305,0.31299,7291.6269999999995,0.0,98,2011-01-19 00:00:00,
0.31299,0.39,0.31,0.39,19881.979,24.6,99,2011-01-20 00:00:00,
0.3899,0.4299,0.368,0.41990695,8477.545,7.67,100,2011-01-21 00:00:00,
0.41,0.44413167,0.39228326,0.44413167,10534.27,5.77,101,2011-01-22 00:00:00,
0.4443,0.4443,0.4200638,0.4424,1148.402,-0.39,102,2011-01-23 00:00:00,
0.4424,0.4424,0.38991089,0.4199,11061.936000000002,-5.09,103,2011-01-24 00:00:00,
0.4223,0.425,0.41,0.41,2163.718,-2.36,104,2011-01-25 00:00:00,
0.41123000000000004,0.42,0.40034261,0.41537167,15564.808,1.31,105,2011-01-26 00:00:00,
0.40938556,0.43952845,0.40851,0.4212,27708.195,1.4,106,2011-01-27 00:00:00,
0.4223,0.446,0.4212,0.446,5324.496999999999,5.89,107,2011-01-28 00:00:00,
0.445,0.445,0.43,0.439,1448.382,-1.57,108,2011-01-29 00:00:00,
0.445,0.48,0.445,0.47987775,10383.593,9.31,109,2011-01-30 00:00:00,
0.47981,0.85,0.47,0.53251607,63516.079000000005,10.97,110,2011-01-31 00:00:00,
0.52854882,0.8442,0.52854882,0.70456224,31562.117000000002,32.31,111,2011-02-01 00:00:00,
0.71,0.7600100000000001,0.69,0.716,5627.48,1.62,112,2011-02-02 00:00:00,
0.7218,0.746,0.65725834,0.69314573,8524.501,-3.19,113,2011-02-03 00:00:00,
0.72,0.8501,0.6709999999999999,0.8109999999999999,42222.189000000006,17.0,114,2011-02-04 00:00:00,
0.83900079,0.9167,0.8115,0.91285843,15786.811000000002,12.56,115,2011-02-05 00:00:00,
0.92,0.92,0.84029506,0.89833464,8744.106,-1.59,116,2011-02-06 00:00:00,
0.8996799999999999,0.9,0.83704283,0.89,2264.28,-0.93,117,2011-02-07 00:00:00,
0.89,0.9179999999999999,0.8617,0.9179999999999999,7021.2880000000005,3.15,118,2011-02-08 00:00:00,
0.89206037,1.07000821,0.83104114,1.02826402,49632.504,12.01,119,2011-02-09 00:00:00,
1.0859999999999999,1.1,0.87229147,0.9730837,26559.641,-5.37,120,2011-02-10 00:00:00,
0.94961915,1.0899,0.92903333,1.07000629,13299.178999999998,9.96,121,2011-02-11 00:00:00,
1.01,1.08,0.9906,1.07958852,4118.92,0.9,122,2011-02-12 00:00:00,
1.0511,1.08,1.02019,1.05,3240.64,-2.74,123,2011-02-13 00:00:00,
1.04,1.08,1.03317843,1.07400186,7096.548000000001,2.29,124,2011-02-14 00:00:00,
1.05833333,1.0821374,1.03559986,1.05,8616.577,-2.23,125,2011-02-15 00:00:00,
1.05,1.05019,1.02447832,1.02447832,7192.375,-2.43,126,2011-02-16 00:00:00,
1.045,1.05019,1.02007739,1.04,4009.844,1.52,127,2011-02-17 00:00:00,
1.03434939,1.04019,0.79063217,0.8989,36948.156,-13.57,128,2011-02-18 00:00:00,
0.8376,0.98,0.8376,0.9489799999999999,3798.708,5.57,129,2011-02-19 00:00:00,
0.9489799999999999,0.9489799999999999,0.83,0.86368468,9974.046,-8.99,130,2011-02-20 00:00:00,
0.8313,0.8796,0.8313,0.8345,1700.121,-3.38,131,2011-02-21 00:00:00,
0.85,0.94001,0.8313,0.87023,12095.264,4.28,132,2011-02-22 00:00:00,
0.90999,0.94248385,0.87023,0.9,6718.871999999999,3.42,133,2011-02-23 00:00:00,
0.93676453,0.99978856,0.9,0.99189349,13418.685,10.21,134,2011-02-24 00:00:00,
0.97,0.99979,0.91109,0.91113011,4461.061,-8.14,135,2011-02-25 00:00:00,
0.91111769,0.97,0.91061,0.958,4744.406,5.14,136,2011-02-26 00:00:00,
0.958,0.958,0.89,0.89,23268.75,-7.1,137,2011-02-27 00:00:00,
0.8900899999999999,0.92,0.84688966,0.86206639,4651.674,-3.14,138,2011-02-28 00:00:00,
0.8601,0.9696,0.8502,0.9202127,22569.783,6.74,139,2011-03-01 00:00:00,
0.9202100000000001,0.94,0.9102,0.9399,2741.873,2.14,140,2011-03-02 00:00:00,
0.91272877,0.9399,0.91,0.93909,2746.67,-0.09,141,2011-03-03 00:00:00,
0.91774202,0.9390000000000001,0.9011152,0.9011152,2711.885,-4.04,142,2011-03-04 00:00:00,
0.90999871,0.9189,0.83239999,0.9103,12570.588,1.02,143,2011-03-05 00:00:00,
0.9098,0.9098,0.8101,0.88424175,12626.492,-2.86,144,2011-03-06 00:00:00,
0.87,0.90839798,0.846,0.88502,15271.268,0.09,145,2011-03-07 00:00:00,
0.85799129,0.885,0.85023421,0.8699899999999999,4527.851,-1.7,146,2011-03-08 00:00:00,
0.8513200000000001,0.87,0.85,0.86189816,4546.045999999999,-0.93,147,2011-03-09 00:00:00,
0.86449,0.92973165,0.84977356,0.92973165,8869.013,7.87,148,2011-03-10 00:00:00,
0.89,0.925,0.86074393,0.88,3725.512,-5.35,149,2011-03-11 00:00:00,
0.88,0.9197,0.88,0.9179999999999999,4822.829000000001,4.32,150,2011-03-12 00:00:00,
0.89474216,0.9179999999999999,0.89187,0.89249,660.31,-2.78,151,2011-03-13 00:00:00,
0.89249,0.9,0.8805299999999999,0.8949,5269.235,0.27,152,2011-03-14 00:00:00,
0.8949,0.8949,0.87146212,0.87146212,2732.157,-2.62,153,2011-03-15 00:00:00,
0.86752372,0.88,0.8360724,0.85999576,7929.615,-1.32,154,2011-03-16 00:00:00,
0.845,0.88,0.81353333,0.82542,7159.779,-4.02,155,2011-03-17 00:00:00,
0.8499,0.85062,0.71437867,0.81585388,14226.223,-1.16,156,2011-03-18 00:00:00,
0.77741176,0.797,0.73134374,0.765,9875.038,-6.23,157,2011-03-19 00:00:00,
0.78263991,0.79,0.7403,0.74625174,5815.319,-2.45,158,2011-03-20 00:00:00,
0.76145,0.7695,0.74050538,0.75897,3695.962,1.7,159,2011-03-21 00:00:00,
0.75897,0.81,0.7405,0.80901,12147.723,6.59,160,2011-03-22 00:00:00,
0.81,0.84988642,0.79399,0.8497100000000001,13262.257,5.03,161,2011-03-23 00:00:00,
0.8320000000000001,0.89968187,0.82761314,0.8668799999999999,14009.368,2.02,162,2011-03-24 00:00:00,
0.8668799999999999,0.88999,0.861,0.8837700000000001,4819.415,1.95,163,2011-03-25 00:00:00,
0.88374176,0.90005448,0.841,0.8552,11756.42,-3.23,164,2011-03-26 00:00:00,
0.82839164,0.87211,0.81573262,0.82307658,5337.145,-3.76,165,2011-03-27 00:00:00,
0.82,0.84019897,0.77986,0.79898,12565.153999999999,-2.93,166,2011-03-28 00:00:00,
0.7989,0.79966,0.7648,0.7925,4215.017,-0.81,167,2011-03-29 00:00:00,
0.7925,0.795,0.7679,0.7897,3218.2209999999995,-0.35,168,2011-03-30 00:00:00,
0.7897,0.80095615,0.768,0.78461,6875.081999999999,-0.64,169,2011-03-31 00:00:00,
0.77657234,0.79697,0.7741100000000001,0.7741100000000001,3186.7670000000003,-1.34,170,2011-04-01 00:00:00,
0.775,0.7989134,0.77414874,0.78199,2493.595,1.02,171,2011-04-02 00:00:00,
0.78195401,0.79210887,0.777,0.779,3931.385,-0.38,172,2011-04-03 00:00:00,
0.77748293,0.77762772,0.57600324,0.68,31155.458,-12.71,173,2011-04-04 00:00:00,
0.68441629,0.7478,0.58,0.71,9730.303,4.41,174,2011-04-05 00:00:00,
0.7477,0.75,0.6903,0.74,8703.946,4.23,175,2011-04-06 00:00:00,
0.74900646,0.7849015,0.72177032,0.7538,10832.992,1.86,176,2011-04-07 00:00:00,
0.75342356,0.799,0.7313,0.7499781,18207.3,-0.51,177,2011-04-08 00:00:00,
0.7499899999999999,0.7676,0.725,0.74587428,12119.396999999999,-0.55,178,2011-04-09 00:00:00,
0.75087805,0.75858707,0.71521395,0.7369,5348.98,-1.2,179,2011-04-10 00:00:00,
0.737073,0.79829474,0.7103,0.77,14645.925,4.49,180,2011-04-11 00:00:00,
0.7787,0.89899895,0.77065121,0.86001441,48417.600999999995,11.69,181,2011-04-12 00:00:00,
0.86,1.0,0.86,0.93117721,43397.558,8.27,182,2011-04-13 00:00:00,
0.9351146999999999,1.0,0.91,0.99988561,31111.877,7.38,183,2011-04-14 00:00:00,
0.99970207,1.08776026,0.93952773,0.98978607,50304.611,-1.01,184,2011-04-15 00:00:00,
0.97892039,1.095,0.95484862,1.0499,28869.299,6.07,185,2011-04-16 00:00:00,
1.048,1.13289171,1.02555,1.13289171,24225.699,7.9,186,2011-04-17 00:00:00,
1.14214247,1.1997,1.11173254,1.1619899999999999,27478.69,2.57,187,2011-04-18 00:00:00,
1.1618,1.1979,1.15,1.1975928,12556.732,3.06,188,2011-04-19 00:00:00,
1.181,1.19780909,1.13,1.1421,21344.952999999998,-4.63,189,2011-04-20 00:00:00,
1.14461068,1.20994711,1.14,1.20994711,39295.693999999996,5.94,190,2011-04-21 00:00:00,
1.21,1.41,1.18955724,1.40901,39415.39,16.45,191,2011-04-22 00:00:00,
1.37791895,1.95,1.32039847,1.68437494,66620.358,19.54,192,2011-04-23 00:00:00,
1.796,1.87306339,1.6,1.63075833,21541.692000000003,-3.18,193,2011-04-24 00:00:00,
1.68354729,1.69589767,1.52112655,1.57419065,13471.601999999999,-3.47,194,2011-04-25 00:00:00,
1.58049665,1.79480592,1.53329355,1.79480592,24054.311,14.01,195,2011-04-26 00:00:00,
1.75735888,1.94990132,1.72,1.9,33055.256,5.86,196,2011-04-27 00:00:00,
1.88902424,2.63825751,1.68123062,2.2105900000000003,100238.23199999999,16.35,197,2011-04-28 00:00:00,
2.22919711,2.92210989,2.21,2.88,57577.324,30.28,198,2011-04-29 00:00:00,
2.88591184,4.02429226,2.75,3.50272007,65427.797,21.62,199,2011-04-30 00:00:00,
3.5,3.86999461,2.65561377,3.0331099999999998,45772.074,-13.41,200,2011-05-01 00:00:00,
3.0988,3.49490775,3.02913203,3.2,18333.831000000002,5.5,201,2011-05-02 00:00:00,
3.2,3.4751371,3.1101,3.39463826,16919.179,6.08,202,2011-05-03 00:00:00,
3.48191348,3.56754964,3.25040395,3.4060900000000003,17278.288,0.34,203,2011-05-04 00:00:00,
3.40563179,3.4498,3.333,3.333,15350.341,-2.15,204,2011-05-05 00:00:00,
3.33314249,3.60965558,3.29042091,3.45059944,23014.697999999997,3.53,205,2011-05-06 00:00:00,
3.44863309,3.7,3.425,3.641,17833.289,5.52,206,2011-05-07 00:00:00,
3.64080793,3.9204934999999996,3.63,3.86583478,21132.514,6.18,207,2011-05-08 00:00:00,
3.86610018,3.8999764999999997,3.69110433,3.8,11520.926000000001,-1.7,208,2011-05-09 00:00:00,
3.83598187,5.95360531,3.81,5.79279448,56217.324,52.44,209,2011-05-10 00:00:00,
5.79565413,5.8979099999999995,4.61,5.5,52569.14599999999,-5.05,210,2011-05-11 00:00:00,
5.4898,6.46516973,5.23585615,6.46014879,31722.464,17.46,211,2011-05-12 00:00:00,
6.3201,8.41547739,6.3201,8.193999999999999,64003.373,26.84,212,2011-05-13 00:00:00,
